,date,ticker,name,action,cik
250,2014-05-01,BEAM,Suntory Global Spirits,removed,
251,2014-05-01,NAVI,Navient,added,
251,2014-05-01,SLM,SLM Corporation,removed,
250,2014-05-01,UA,Under Armour,added,
252,2014-04-03,GOOGL,Google,added,
253,2014-04-02,CLF,Cliffs Natural Resources,removed,
253,2014-04-02,ESS,Essex Property Trust,added,
254,2014-03-21,GMCR,Keurig Green Mountain,added,
254,2014-03-21,WPX,WPX Energy,removed,
255,2014-01-24,LIFE,Life Technologies,removed,
255,2014-01-24,TSCO,Tractor Supply,added,
256,2013-12-23,ADS,Alliance Data Systems,added,
256,2013-12-23,ANF,Abercrombie & Fitch,removed,
258,2013-12-23,FB,Facebook,added,
257,2013-12-23,JDSU,JDS Uniphase,removed,
311,2013-12-23,META,Meta Platforms,added,0001326801
257,2013-12-23,MHK,Mohawk Industries,added,
258,2013-12-23,TER,Teradyne,removed,
259,2013-12-10,GGP,General Growth Properties,added,
259,2013-12-10,MOLX,Molex,removed,
260,2013-12-02,ALLE,Allegion,added,
260,2013-12-02,JCP,JCPenney,removed,
261,2013-11-13,KORS,Michael Kors,added,
261,2013-11-13,NYX,NYSE Euronext,removed,
262,2013-10-29,DELL,Dell,removed,
262,2013-10-29,RIG,Transocean,added,
263,2013-09-20,AMD,Advanced Micro Devices,removed,
264,2013-09-20,AME,Ametek,added,
264,2013-09-20,SAI,SAIC,removed,
263,2013-09-20,VRTX,Vertex Pharmaceuticals,added,
265,2013-09-10,BMC,BMC Software,removed,
265,2013-09-10,DAL,Delta Air Lines,added,
266,2013-07-08,NLSN,Nielsen Holdings,added,
266,2013-07-08,S,Sprint Nextel,removed,
267,2013-07-01,APOL,Apollo Education Group,removed,
267,2013-07-01,NWSA,21st Century Fox,added,
268,2013-06-21,FHN,First Horizon,removed,
268,2013-06-21,ZTS,Zoetis,added,
269,2013-06-06,GM,General Motors,added,
269,2013-06-06,HNZ,Heinz,removed,
270,2013-05-23,DF,Dean Foods,removed,
270,2013-05-23,KSU,Kansas City Southern,added,
271,2013-05-08,CVH,Coventry Health Care,removed,
271,2013-05-08,MAC,Macerich,added,
272,2013-04-30,PCS,MetroPCS,removed,
272,2013-04-30,REGN,Regeneron Pharmaceuticals,added,
273,2013-02-15,BIG,Big Lots,removed,
273,2013-02-15,PVH,PVH,added,
274,2013-01-02,ABBV,AbbVie,added,
274,2013-01-02,FII,Federated Investors,removed,
40,2012-12-24,APTV,Aptiv,added,0001521332
275,2012-12-21,DLPH,Delphi Automotive,added,
275,2012-12-21,TIE,Titanium Metals,removed,
276,2012-12-11,GRMN,Garmin,added,
276,2012-12-11,RRD,RR Donnelley,removed,
239,2012-12-10,HUM,Humana,added,0000049071
277,2012-12-03,CBE,Cooper Industries,removed,
277,2012-12-03,DG,Dollar General,added,
278,2012-10-10,PETM,PetSmart,added,
278,2012-10-10,SUN,Sunoco,removed,
279,2012-10-02,ANR,Alpha Natural Resources,removed,
280,2012-10-02,KFT,Kraft Foods,removed,
279,2012-10-02,KRFT,Kraft Foods,added,
280,2012-10-02,MDLZ,Mondelez,added,
281,2012-10-01,ADT,ADT,added,
282,2012-10-01,DV,DeVry,removed,
281,2012-10-01,LXK,Lexmark,removed,
282,2012-10-01,PNR,Pentair,added,
283,2012-09-05,LYB,LyondellBasell,added,
283,2012-09-05,SHLD,Sears Holdings,removed,
284,2012-07-31,ESV,Ensco,added,
284,2012-07-31,GR,Goodrich Corporation,removed,
285,2012-07-02,PGN,Progress Energy,removed,
285,2012-07-02,STX,Seagate Technology,added,
286,2012-06-29,MNST,Monster Beverage,added,
286,2012-06-29,SLE,Sara Lee Corporation,removed,
287,2012-06-05,LRCX,Lam Research,added,
287,2012-06-05,NVLS,Novellus Systems,removed,
288,2012-05-21,ALXN,Alexion Pharmaceuticals,added,
288,2012-05-21,MMI,Motorola Mobility,removed,
289,2012-05-17,EP,El Paso Corporation,removed,
289,2012-05-17,KMI,Kinder Morgan,added,
290,2012-04-23,PSX,Phillips 66,added,
290,2012-04-23,SVU,Supervalu,removed,
291,2012-04-03,FOSL,Fossil,added,
291,2012-04-03,MHS,Medco Health Solutions,removed,
292,2012-03-13,CCI,Crown Castle,added,
292,2012-03-13,CEG,Constellation Energy Group,removed,
293,2011-12-31,CPWR,Compuware,removed,
293,2011-12-31,WPX,WPX Energy,added,
294,2011-12-20,TLAB,Tellabs,removed,
294,2011-12-20,TRIP,TripAdvisor,added,
295,2011-12-16,AKS,AK Steel,removed,
295,2011-12-16,BWA,BorgWarner,added,
297,2011-12-16,DLTR,Dollar Tree,added,
296,2011-12-16,MWW,Monster Worldwide,removed,
296,2011-12-16,PRGO,Perrigo,added,
297,2011-12-16,WFR,MEMC Electronic Materials,removed,
298,2011-12-12,GAS,AGL Resources.,added,
298,2011-12-12,GAS,Nicor Gas,removed,
299,2011-11-18,CBE,Cooper Industries,added,
299,2011-11-18,JNS,Janus Capital Group,removed,
300,2011-10-31,ITT,ITT,removed,
300,2011-10-31,XYL,Xylem,added,
301,2011-10-14,CEPH,Cephalon,removed,
